"is_interactive","number_of_scripts","number_of_completed_tutorials","author_name","join_date","features","activedays","receivedpositivereviews","subscribers","score"
"1","32","4","liuxiaobin","2013-04-13 15:55:33","97","10","0","0","28"
"1","32","3","User274035","2012-10-03 17:26:04","122","32","3","0","36"
"1","30","3","YoungjinMa","2013-09-04 18:32:45","81","21","8","2","38"
"1","30","4","All_Colombian11","2013-09-04 18:39:27","71","16","2","0","28"
"1","30","3","TheRainyAsian","2013-09-04 05:18:42","81","27","17","1","39"
"1","30","2","User883273","2013-01-26 13:41:46","597","265","31","3","118"
"1","30","3","physics cat","2013-08-11 01:36:42","183","80","7","0","51"
"1","30","9","max tello","2013-10-19 22:10:35","34","1","0","0","13"
"1","30","6","danielkuhlmann","2012-12-03 12:14:35","62","16","0","0","25"
"1","30","6","Lindsey Kang1","2013-08-15 22:40:47","70","5","3","0","24"
"1","30","2","JCarinojr","2012-03-29 08:36:24","114","81","1","1","39"
"1","30","2","Mr.Capers","2012-09-18 17:14:31","201","88","16","0","56"
"1","30","3","User61779","2012-09-26 17:19:21","87","15","0","0","27"
"1","30","2","SkinJobZed","2012-09-17 17:32:41","96","29","1","0","30"
"1","30","2","User59437","2012-04-03 17:18:14","97","21","3","1","33"
"1","30","2","User55121","2012-04-03 17:21:02","87","29","0","1","29"
"1","28","2","Balnisha Kallay","2013-09-11 12:15:32","100","17","4","5","38"
"1","28","6","User609388","2013-10-19 22:25:57","31","1","0","0","13"
"1","28","6","Vikram Vijayakumar1","2013-10-19 22:09:41","39","1","0","0","13"
"1","28","6","Jonas Borges","2013-10-19 19:07:37","30","2","0","0","14"
"1","28","7","Awkconsul","2013-09-23 16:25:11","77","14","1","0","27"
"1","28","6","User65920","2013-08-28 19:29:49","7","5","0","0","12"
"1","28","4","Morgonn Mcmichael","2013-08-15 18:27:16","70","3","3","0","22"
"1","28","2","Daphneade","2013-04-26 01:27:03","30","19","1","0","23"
"1","28","2","User422486","2012-10-26 17:15:34","177","83","1","0","44"
"1","28","3","MrMalcont3nt","2012-10-27 23:15:11","20","12","0","0","21"
"1","27","3","User33325","2013-11-18 13:00:23","83","2","0","0","19"
"1","27","3","70307AE Demo","2011-08-23 00:51:10","77","28","0","0","27"
"1","27","6","balkishan","2013-07-26 18:55:17","13","3","0","0","13"
"1","27","1","GGoeschl","2012-07-13 10:58:07","133","63","51","5","56"
"1","27","1","Kevin Seng","2013-04-18 19:29:23","165","27","1","0","37"
"1","27","3","User02590","2013-05-19 12:06:49","135","5","0","0","27"
"1","26","2","babulpradhan2","2013-04-03 03:08:43","137","16","2","0","34"
"1","25","5","User92951","2013-09-27 12:34:14","89","6","4","0","27"
"1","25","5","Ricardo Navarro Filho","2013-10-19 18:40:23","109","30","3","0","34"
"1","25","4","BOREALIS","2013-10-22 07:52:25","49","19","0","0","23"
"1","25","5","DanielAlveskÃ¶ld","2013-05-30 09:32:23","77","11","0","0","26"
"1","24","3","CptTeemoOnDuty","2013-09-04 18:33:48","85","23","0","0","28"
"1","24","2","Oboboss11","2013-09-04 12:30:29","102","21","4","2","36"
"1","24","1","Harishguna Satgunarajah","2013-04-25 01:30:25","133","54","1","0","37"
"1","24","4","User14528","2013-08-16 19:22:05","79","48","0","0","29"
"1","24","2","Arthur Sanicolas","2013-09-09 17:25:50","78","23","0","0","27"
"1","24","1","RBXSystems","2013-09-08 00:48:19","176","60","3","0","44"
"1","24","6","Renae Lehman","2013-10-28 12:11:27","13","8","0","0","18"
"1","24","4","Prachee Acharya<3","2013-09-04 18:34:22","82","17","0","0","27"
"1","24","3","douglas johansson","2013-05-30 09:48:15","96","40","0","0","31"
"1","24","3","Cupcakes :P","2013-09-04 18:33:37","70","19","2","4","32"
"1","24","3","Peaches123","2013-10-22 03:46:34","59","19","0","0","24"
"1","24","3","King of the castle","2013-11-03 08:57:34","76","7","0","0","23"
"1","24","6","Sarah Pepple","2013-10-25 14:03:14","14","2","0","0","12"
"1","24","3","craze thing","2013-05-30 09:32:29","79","27","0","0","27"
"1","24","3","salma haji","2013-06-24 20:51:13","56","16","0","0","24"
"1","24","6","JAmila07","2013-09-11 17:31:25","21","15","0","0","21"
"1","24","6","Jazmine Bahena","2013-08-16 00:23:09","64","2","0","0","17"
"1","24","6","Cassidy Roenicke","2013-08-15 22:39:55","64","3","0","0","18"
"1","24","6","jabberjay1000 .","2013-08-15 18:34:35","64","2","0","0","17"
"1","24","3","ayanna beavers","2013-06-24 20:49:14","69","14","0","0","25"
"1","24","2","Harvey 2013","2013-06-25 22:16:55","6","4","0","0","10"
"1","24","8","April Li5","2013-06-10 01:59:58","15","6","0","1","17"
"1","24","2","Robert Wong","2012-10-31 16:26:22","115","50","2","0","36"
"1","24","6","User150154","2013-03-23 17:07:40","25","5","0","0","16"
"1","24","4","Symwin apps","2013-11-23 07:02:41","76","2","0","0","18"
"1","22","2","RJ Rodriquez","2013-10-10 17:23:09","88","11","0","0","27"
"1","22","2","M3XL Developments","2013-08-17 01:16:46","84","22","0","0","28"
"1","22","2","SUPER ASIAN KID","2013-06-24 20:48:40","66","16","0","0","25"
"1","22","2","anaintuneric","2012-10-25 12:44:47","124","52","6","0","41"
"1","22","2","nwsari14","2012-10-03 17:27:24","158","42","3","0","40"
"1","22","2","Akshit Gupta","2012-11-21 18:18:58","62","11","0","0","25"
"1","22","2","Alexis Yamaguchi","2012-04-03 17:09:36","54","12","4","1","29"
"1","22","2","Jo'Nathan Alderson","2012-04-03 17:09:10","66","27","1","1","28"
"1","21","3","User461665","2013-11-16 16:14:34","58","6","0","0","20"
"1","21","6","thomas hochard","2013-11-04 16:39:26","47","2","0","0","15"
"1","21","3","Michael Binshtock","2013-11-03 08:54:35","92","2","0","0","20"
"1","21","6","Zachary Bolinger-gardner","2013-10-23 14:46:03","12","4","0","0","14"
"1","21","6","celine kogane","2013-10-19 22:11:13","36","3","0","0","15"
"1","21","6","User708359","2013-09-18 16:10:00","40","5","0","0","18"
"1","21","7","User64498","2013-08-15 18:32:45","42","3","0","0","16"
"1","21","1","MichaelK33","2013-03-23 14:40:37","101","75","4","0","39"
"1","21","3","JinkyJonky","2013-07-09 22:25:40","77","27","0","0","27"
"1","21","3","User81453","2013-06-19 16:34:23","169","8","0","0","33"
"1","21","6","Demonte Ward","2013-05-29 21:56:43","15","7","0","0","17"
"1","21","3","User04023","2011-11-17 02:46:08","30","19","1","0","23"
"1","21","3","Sasa Spanovic","2012-10-24 22:50:13","107","36","5","0","36"
"1","21","3","User614711","2013-11-24 09:50:43","76","1","0","0","17"
"1","20","2","malik ford","2013-09-10 17:17:28","75","30","1","0","29"
"1","20","4","Sukree Sinthupinyo","2013-10-18 05:30:28","161","15","0","0","35"
"1","20","2","Zayeem Hamid","2013-09-04 02:58:36","96","31","2","0","32"
"1","20","2","AllisonL","2013-09-04 22:06:36","96","25","2","0","31"
"1","20","5","Diamond Edwards","2013-11-01 14:24:35","47","7","0","0","20"
"1","20","5","Damonique Williams","2013-10-29 20:43:06","47","3","0","0","16"
"1","20","3","megan licata","2013-10-23 14:49:56","15","8","0","0","18"
"1","20","5","develop1101","2013-10-17 10:56:11","54","2","0","0","16"
"1","20","5","Teresa A Knepple","2013-09-27 19:28:10","15","11","0","0","20"
"1","20","5","Filip Ã…kerlind","2013-05-30 09:32:21","38","13","0","0","22"
"1","20","4","Xizor1971","2013-09-14 04:13:12","27","8","0","0","19"
"1","20","5","Mark Orlassino","2011-08-06 20:36:32","12","42","0","0","23"
"1","20","3","MikaelBondestam v2","2013-04-09 08:57:39","41","45","0","1","27"
"1","20","2","Ostyuchenko","2012-05-09 20:47:05","22","41","0","0","24"
"1","20","5","User274877","2013-05-21 07:53:28","10","5","1","0","16"
"1","20","5","Caspervl","2013-03-28 13:55:28","54","17","3","1","28"
"1","20","2","User97868","2012-09-26 17:21:43","90","30","0","0","30"
"1","20","2","SHACK123","2012-04-03 17:06:49","42","35","2","1","28"
"1","20","2","Kentrice","2012-04-03 17:13:32","25","23","0","1","23"
"1","20","2","MarG","2011-07-26 23:31:54","237","18","2","0","44"
"1","19","1","oranJess","2013-07-11 20:06:37","103","51","1","0","34"
"1","19","1","Bikramjit Singh","2013-06-22 01:23:54","39","9","0","0","21"
"1","19","1","yutakatm","2013-01-22 13:47:00","60","21","0","0","26"
"1","18","2","Thoi Tyson","2013-06-24 20:45:37","94","19","0","0","28"
"1","18","2","Sergio Henrique","2013-10-11 18:22:33","58","19","0","0","24"
"1","18","3","Sergey Shmarkatyuk","2013-10-01 05:01:01","114","23","0","0","31"
"1","18","3","User141139","2013-10-15 15:51:36","81","5","1","0","23"
"1","18","3","Josh Wilson","2013-10-15 15:51:45","79","5","1","0","22"
"1","18","3","User60517","2013-10-16 14:04:42","61","7","0","0","22"
"1","18","3","Meg Byrne","2013-11-15 12:16:18","45","1","0","0","14"
"1","18","3","Cecily Heiner","2013-03-07 22:12:49","54","12","0","0","24"
"1","18","2","GARRETT G.","2013-09-04 22:06:32","59","21","1","0","26"
"1","18","3","Mastergs Jun","2013-03-15 04:07:01","203","32","0","0","41"
"1","18","3","Alex Kravchik","2013-11-03 08:52:45","82","2","1","0","20"
"1","18","3","Eyal Carmel","2013-06-25 11:31:34","72","3","0","0","19"
"1","18","3","Steven Gehegan","2013-10-04 18:19:53","68","13","0","0","25"
"1","18","6","User708767","2013-10-17 15:38:22","23","3","0","0","14"
"1","18","2","parallaxbeta","2013-07-07 11:58:19","62","17","1","0","26"
"1","18","2","SpiegelEye","2013-08-05 13:36:45","108","35","60","3","49"
"1","18","2","FireWaluigi756","2013-06-04 12:10:07","101","42","31","3","47"
"1","18","6","User75356","2013-03-31 16:16:10","37","6","0","0","18"
"1","18","2","Brian Prince","2013-01-29 19:43:48","125","33","5","3","41"
"1","18","2","Ashya White","2013-06-24 20:50:01","66","13","0","0","25"
"1","18","2","sam leomiti","2013-06-24 20:46:57","49","11","1","0","24"
"1","18","6","Ahmed Al-marzooq","2013-07-07 20:59:36","11","22","2","0","23"
"1","18","3","Code Jesus","2013-03-15 04:09:55","118","21","1","0","32"
"1","18","2","User067342","2013-02-08 17:29:16","70","30","0","0","28"
"1","18","3","Siddharth Patel","2012-10-29 22:33:25","72","18","0","0","26"
"1","18","2","Mohsin Junaid","2013-01-30 23:20:00","155","29","0","0","35"
"1","18","2","Stefan Falk","2011-08-03 20:40:31","226","550","170","7","128"
"1","18","3","MichaelaMontstream","2012-06-29 19:49:34","76","16","6","0","32"
"1","18","2","AliXAndRa FOreVEr","2012-04-03 17:19:19","65","16","2","1","28"
"1","17","1","Lanky_boi_rayza","2013-01-20 23:53:23","149","48","0","0","36"
"1","17","1","Jackie Tsui","2013-06-01 20:56:11","103","14","0","0","29"
"1","17","1","User00863","2013-05-14 21:21:18","39","17","0","0","22"
"1","17","1","User80635","2012-12-12 07:47:03","106","8","1","0","28"
"1","16","1","arpit christi","2013-10-01 01:13:33","185","27","1","0","39"
"1","16","2","Ywen Xuan Liou","2013-10-21 23:16:06","64","18","1","0","26"
"1","16","2","GeorgeKP","2013-02-26 06:26:46","323","41","13","2","66"
"1","16","4","Misael Garcia","2013-10-29 16:05:54","61","6","0","0","21"
"1","16","2","B111PPI<3","2013-09-05 01:58:23","37","48","0","0","25"
"1","16","2","Camthekills","2013-11-01 16:42:40","57","14","0","0","24"
"1","16","4","EMBEDDWARE","2011-08-24 06:12:34","40","42","0","0","26"
"1","16","4","User014848","2013-09-12 22:16:39","38","12","0","0","22"
"1","16","3","vargeek1020","2013-09-20 07:38:55","47","5","0","0","18"
"1","16","3","User389894","2013-07-15 18:15:49","26","6","0","0","17"
"1","16","2","Ghadirk Ghadir","2013-09-06 12:09:51","30","3","0","0","15"
"1","16","4","Joey Gulliver Price","2013-08-21 15:01:52","68","3","0","0","18"
"1","16","4","Flora Park","2013-08-15 18:31:39","71","2","1","0","19"
"1","16","8","Anya Felix","2013-07-12 06:14:28","32","3","0","0","15"
"1","16","2","Janiqua Williams","2013-06-24 21:06:28","52","8","0","0","22"
"1","16","2","User56307","2013-06-22 00:48:06","10","12","0","0","20"
"1","16","1","Amy_Chan4","2013-06-01 20:55:14","102","14","0","0","29"
"1","16","3","Terry Nillo","2013-06-04 20:18:02","11","5","0","0","15"
"1","16","8","Oysn Doorty","2013-04-30 22:10:24","14","3","0","0","13"
"1","16","4","Kiet M Sam","2013-05-21 20:03:48","83","5","2","0","24"
"1","16","1","kgsathish","2013-02-08 05:05:17","112","41","3","0","36"
"1","16","2","User27788","2012-12-26 07:42:16","16","6","0","0","16"
"1","16","2","Jwizzle123","2012-09-26 17:16:11","112","22","0","0","31"
"1","16","3","User332411","2012-08-02 04:12:03","15","4","0","0","14"
"1","15","3","Goran Debeljak","2013-11-12 13:19:50","59","7","0","0","21"
"1","15","5","heyitevilynnn","2013-10-21 21:29:44","74","21","0","0","27"
"1","15","1","RetardedUnicorn","2013-10-30 17:00:19","101","10","0","0","29"
"1","15","3","Jennifer  Valdez Gonzalez","2013-09-17 17:39:24","35","25","0","0","23"
"1","15","3","User11878","2013-10-17 15:32:52","77","4","0","0","20"
"1","15","3","Rokesh007","2013-07-08 16:06:28","40","4","0","0","17"
"1","15","5","User893003","2013-10-29 08:18:35","38","9","0","0","21"
"1","15","5","Maya Brown","2013-10-31 14:11:46","50","7","0","0","21"
"1","15","5","Marco Loaiza","2013-11-04 14:42:01","40","2","0","0","15"
"1","15","5","Heidi Clayton","2013-10-30 00:18:37","51","2","0","0","16"
"1","15","5","Regina Forsi8","2013-10-30 00:21:56","54","2","0","0","16"
"1","15","5","J-Dog8u manðŸ˜ˆðŸ˜ˆðŸ˜ˆ","2013-10-19 22:12:08","36","2","0","0","14"
"1","15","4","charley beckett","2013-10-09 18:27:03","14","11","0","0","20"
"1","15","3","Elijah Harmon","2013-08-01 16:40:06","58","24","0","0","25"
"1","15","5","Sam Cammidge","2013-10-04 18:10:40","21","5","0","0","16"
"1","15","3","User947062","2013-09-11 11:56:45","41","6","1","0","20"
