is_interactive,	number_of_scripts,	number_of_completed_tutorials,	author_name,	join_date,	features,	activedays,	receivedpositivereviews,	subscribers,	score,	
1,	48,	3,	Elliot Zhao,	2013-09-04 22:08:14,	133,	40,	1,	0,	36,
1,	48,	2,	User83481,	2012-01-24 18:32:53,	293,	70,	1,	0,	55,
1,	48,	2,	RBXSystems,	2013-09-08 00:48:19,	176,	72,	3,	0,	45,
1,	48,	2,	justapundo,	2012-12-04 22:47:51,	275,	132,	2,	2,	62,
1,	46,	2,	hassaun hastings,	2013-01-22 17:13:59,	134,	79,	0,	0,	38,
1,	45,	3,	Danielle Naggar,	2013-12-20 14:27:57,	87,	7,	0,	0,	24,
1,	45,	3,	Pusheen <3,	2013-10-03 06:20:22,	115,	53,	84,	9,	60,
1,	44,	4,	harrisdwjr .,	2013-12-09 15:40:20,	86,	6,	0,	0,	23,
1,	44,	2,	Hiro Kiku,	2011-10-24 14:40:05,	424,	462,	51,	2,	122,
1,	44,	2,	Luke@cse.uta,	2013-01-14 23:37:09,	134,	21,	0,	0,	33,
1,	43,	1,	David Renton,	2012-10-25 02:25:30,	178,	152,	135,	6,	78,
1,	42,	3,	isignisign,	2014-01-01 22:20:00,	87,	2,	0,	0,	19,
1,	42,	3,	Destiny Bryant,	2013-12-20 14:27:26,	87,	6,	0,	0,	23,
1,	42,	3,	User631749,	2013-03-17 15:19:02,	87,	13,	0,	0,	27,
1,	42,	3,	Tobuscus 2,	2013-11-14 17:09:50,	125,	36,	0,	0,	33,
1,	42,	3,	coolbeaf,	2011-10-16 00:36:58,	90,	85,	3,	0,	38,
1,	42,	2,	together three,	2012-03-16 02:11:34,	280,	135,	18,	0,	69,
1,	42,	3,	zfrohardt,	2013-06-25 00:26:50,	210,	44,	0,	0,	43,
1,	40,	5,	pixalex-cp,	2013-12-09 17:18:01,	81,	9,	0,	0,	26,
1,	40,	2,	theimpossiblegirl,	2013-09-04 18:33:43,	125,	38,	9,	2,	44,
1,	40,	2,	Mirko de Boer,	2013-03-31 23:41:25,	136,	80,	7,	1,	47,
1,	39,	3,	slideguy,	2013-01-07 22:38:04,	173,	94,	2,	0,	46,
1,	39,	3,	Cameron Austin Varley,	2013-12-05 18:56:22,	90,	5,	0,	0,	23,
1,	39,	3,	Fluffy Beer,	2013-11-21 21:58:38,	83,	3,	0,	0,	20,
1,	38,	2,	Raf Capili,	2013-09-10 17:44:15,	102,	52,	0,	0,	33,
1,	38,	2,	Frances Mccusker,	2013-11-27 15:09:51,	86,	4,	0,	0,	21,
1,	38,	2,	finta hassan,	2013-11-20 17:32:56,	83,	13,	0,	0,	27,
1,	38,	1,	Tracie Kalehuawehe,	2012-11-15 02:35:39,	35,	2,	0,	0,	14,
1,	37,	1,	User31837,	2013-03-24 21:46:26,	269,	44,	1,	0,	49,
1,	37,	1,	User62505-JDP,	2013-03-21 04:55:56,	77,	29,	1,	0,	28,
1,	36,	3,	Anthony Gregory,	2013-08-06 17:08:45,	75,	38,	0,	0,	28,
1,	36,	3,	angelina welch,	2013-12-11 21:44:01,	84,	11,	0,	0,	27,
1,	36,	3,	Lee Sennett9,	2013-12-29 13:46:05,	77,	9,	0,	0,	25,
1,	36,	2,	User363421,	2013-12-08 17:12:28,	86,	12,	0,	0,	27,
1,	36,	2,	Ben Soars (Duckman),	2013-09-04 12:30:15,	116,	15,	6,	0,	36,
1,	36,	4,	R1C3xN1NJA,	2013-09-05 01:04:33,	79,	33,	0,	0,	28,
1,	36,	4,	Cupcakes :P,	2013-09-04 18:33:37,	72,	25,	3,	4,	34,
1,	34,	2,	Dragon2000,	2013-12-26 18:49:24,	97,	9,	0,	0,	27,
1,	34,	2,	xiaogezi,	2012-06-06 14:27:46,	267,	245,	20,	2,	81,
1,	34,	2,	kathiresanS,	2013-02-22 06:14:41,	199,	89,	20,	1,	57,
1,	34,	2,	Jackie Tsui,	2013-06-01 20:56:11,	103,	14,	0,	0,	29,
1,	33,	3,	Aman Singh 24,	2013-09-04 12:27:34,	111,	19,	3,	2,	35,
1,	33,	3,	Ashleyyy!(:,	2013-10-21 19:13:21,	81,	28,	1,	0,	29,
1,	33,	3,	AllisonL,	2013-09-04 22:06:36,	125,	37,	2,	0,	35,
1,	33,	3,	hay nakei!,	2013-10-21 19:13:47,	111,	38,	6,	3,	41,
1,	32,	4,	The 4th Doctor,	2013-12-13 19:07:39,	81,	9,	0,	0,	26,
1,	32,	1,	Schlicki2808,	2011-08-31 18:02:05,	491,	202,	20,	0,	98,
1,	32,	2,	Melanie Rodriguez,	2013-12-20 14:27:02,	86,	10,	1,	0,	28,
1,	32,	2,	Jiani Huang,	2013-12-23 02:42:48,	89,	4,	0,	0,	21,
1,	32,	2,	husna khosrawi,	2013-12-20 14:25:36,	84,	5,	0,	0,	22,
1,	32,	2,	xxmrsmexyjayxx,	2013-12-11 17:08:48,	90,	9,	1,	0,	28,
1,	32,	1,	Mihai Codoban,	2013-10-06 21:10:21,	75,	34,	3,	0,	31,
1,	32,	1,	Rafael.Albuquerque,	2013-02-06 04:40:33,	314,	126,	7,	0,	68,
1,	32,	4,	PikaChuChuTrain,	2013-09-04 18:36:03,	76,	36,	0,	0,	28,
1,	32,	2,	kgsathish,	2013-02-08 05:05:17,	112,	41,	3,	0,	36,
1,	31,	1,	CoatsyAus,	2012-07-20 03:15:10,	352,	190,	45,	3,	88,
1,	30,	2,	Ahmad Rizqi,	2013-12-19 08:25:47,	82,	3,	0,	0,	20,
1,	30,	2,	Crystal Jia,	2013-12-20 14:28:19,	87,	8,	0,	0,	25,
1,	30,	2,	3Dragons,	2013-05-20 15:07:02,	86,	4,	0,	0,	21,
1,	30,	3,	sam bucolo,	2013-12-18 00:17:28,	91,	3,	0,	0,	21,
1,	30,	5,	Amer Rashid,	2013-12-06 13:59:46,	81,	16,	1,	0,	28,
1,	30,	2,	User883273,	2013-01-26 13:41:46,	597,	309,	32,	3,	122,
1,	30,	1,	ColdPlay_Paradise,	2012-09-18 17:13:55,	201,	87,	2,	0,	48,
1,	30,	2,	Darbi Finney,	2013-10-04 18:19:30,	99,	17,	0,	0,	28,
1,	30,	2,	Jurrijan,	2013-08-27 16:28:52,	156,	18,	0,	0,	34,
1,	30,	2,	Simon Polthier,	2012-04-27 14:23:15,	136,	91,	8,	0,	48,
1,	30,	1,	LivePp22,	2012-09-18 17:13:35,	196,	103,	3,	1,	51,
1,	30,	2,	T.sun.Evil Boy,	2011-09-24 15:56:34,	183,	80,	14,	1,	55,
1,	30,	1,	User804691,	2013-05-31 02:44:26,	88,	10,	2,	0,	29,
1,	29,	1,	Mephisztoe,	2012-06-05 16:05:06,	255,	101,	5,	0,	58,
1,	29,	1,	alex flores,	2013-09-09 17:37:11,	92,	52,	2,	0,	34,
1,	29,	1,	Julie Nguyen,	2013-09-10 17:19:21,	109,	53,	3,	0,	36,
1,	28,	2,	Ronin Schnars,	2013-12-19 04:57:57,	86,	15,	1,	0,	28,
1,	28,	2,	Ryan Lucas,	2013-09-27 12:34:14,	104,	10,	7,	0,	36,
1,	28,	2,	David Wagner,	2013-12-09 21:00:02,	85,	5,	0,	0,	22,
1,	28,	2,	Duckington Hassleberry,	2013-09-04 12:28:50,	70,	17,	2,	1,	29,
1,	28,	1,	Cheeseburger,	2013-04-19 05:02:44,	286,	61,	2,	1,	55,
1,	28,	2,	Daphneade,	2013-04-26 01:27:03,	30,	19,	1,	0,	23,
1,	27,	3,	Kieran Dickenson,	2013-09-27 12:35:26,	80,	10,	3,	0,	30,
1,	27,	3,	gomizzou45,	2013-09-20 17:30:37,	90,	24,	0,	0,	29,
1,	27,	3,	Lewis Cromack,	2013-11-14 16:44:15,	90,	31,	0,	0,	30,
1,	27,	3,	Yaniv Nahum,	2013-10-07 14:19:06,	94,	6,	0,	0,	24,
1,	26,	2,	Pearl Richards,	2014-01-05 08:24:34,	87,	5,	0,	0,	22,
1,	26,	2,	cvalenza,	2014-01-07 01:43:01,	86,	2,	0,	0,	19,
1,	26,	2,	Oda Jensen,	2013-12-09 10:19:53,	86,	2,	0,	0,	19,
1,	26,	1,	cookedkiwis,	2013-06-15 05:55:31,	170,	27,	0,	0,	37,
1,	26,	2,	ComputerCurtis,	2013-11-20 18:22:18,	88,	24,	1,	0,	29,
1,	25,	1,	mherndon6,	2013-05-31 02:46:00,	82,	9,	0,	1,	27,
1,	24,	1,	User69391,	2013-01-19 22:31:11,	303,	108,	4,	0,	62,
1,	24,	3,	One Games,	2013-11-13 07:00:22,	130,	35,	0,	0,	34,
1,	24,	2,	DLM Entertainment,	2013-11-30 14:29:31,	77,	6,	0,	0,	22,
1,	24,	1,	Ahad Islam,	2013-05-02 09:31:52,	201,	178,	50,	3,	72,
1,	24,	2,	iamsupamegahip,	2013-12-11 18:00:51,	86,	4,	0,	0,	21,
1,	24,	2,	scrappy cocoa,	2013-12-18 08:14:46,	75,	4,	0,	0,	20,
1,	24,	3,	Anthony Palermo-Veilleux,	2013-12-09 23:24:17,	100,	7,	0,	0,	26,
1,	24,	2,	Nogueira,	2012-04-13 06:50:17,	67,	42,	0,	0,	28,
1,	24,	2,	Nazar Oladepo,	2013-12-10 17:28:34,	79,	6,	0,	0,	22,
1,	24,	2,	User56353,	2013-12-09 20:31:01,	84,	2,	0,	0,	19,
1,	24,	2,	Luke McHugh,	2013-12-03 00:46:00,	85,	8,	0,	0,	25,
1,	24,	2,	Andrew Wang the bomb,	2013-09-04 18:38:00,	75,	27,	1,	0,	28,
1,	24,	2,	POOF12345,	2013-09-04 18:33:03,	93,	35,	1,	2,	33,
1,	24,	1,	catherine nguyen,	2013-09-11 17:18:19,	104,	37,	1,	0,	32,
1,	24,	3,	Violator Kush Wright,	2013-10-04 18:23:59,	96,	21,	0,	0,	29,
1,	24,	1,	Connor Sharples,	2012-08-21 16:47:34,	211,	80,	15,	2,	59,
1,	24,	1,	Miguel HM,	2012-04-03 17:17:18,	134,	33,	2,	1,	37,
1,	23,	1,	Peter Yao4,	2013-06-15 19:46:27,	76,	11,	0,	0,	26,
1,	22,	1,	zacaria ismael,	2013-09-09 17:32:38,	85,	51,	0,	0,	31,
1,	22,	2,	jimsnet2020,	2014-01-05 15:43:13,	89,	4,	0,	0,	21,
1,	22,	2,	Kevin Boxhoorn,	2013-10-17 12:34:50,	154,	26,	1,	0,	36,
1,	22,	2,	Hansen Gaitan,	2013-12-29 00:25:02,	86,	4,	0,	0,	21,
1,	22,	2,	User33480,	2011-12-02 18:20:12,	70,	3,	0,	0,	19,
1,	22,	2,	erich3115,	2013-08-15 01:16:13,	19,	20,	0,	0,	21,
1,	22,	2,	OptimechX,	2013-12-20 18:50:16,	86,	1,	0,	0,	18,
1,	22,	2,	IAScript,	2013-12-10 23:47:11,	85,	4,	0,	0,	21,
1,	22,	2,	Daicie Mindt,	2013-12-13 16:14:52,	86,	4,	0,	0,	21,
1,	22,	2,	User35281,	2013-12-11 15:09:31,	86,	2,	0,	0,	19,
1,	22,	2,	Runa Marie Sylte,	2013-12-11 08:53:41,	86,	2,	0,	0,	19,
1,	22,	2,	LumiaDan,	2013-12-07 16:43:53,	85,	5,	0,	0,	22,
1,	22,	1,	Sommerlichter,	2013-03-21 16:32:29,	142,	31,	5,	0,	40,
1,	22,	2,	Chris Kurhan,	2012-09-12 20:17:42,	329,	175,	38,	1,	80,
1,	22,	2,	PCCoder1000,	2013-05-25 05:38:24,	44,	15,	2,	1,	26,
1,	22,	1,	Sascha M. B.,	2011-10-25 17:34:44,	736,	249,	143,	3,	141,
1,	21,	1,	Lanky_boi_rayza,	2013-01-20 23:53:23,	152,	58,	0,	0,	38,
1,	21,	1,	BarbaraPušnar,	2012-10-25 14:09:26,	133,	54,	3,	0,	39,
1,	21,	3,	userdo9jhb,	2013-12-07 15:35:56,	85,	9,	0,	0,	26,
1,	21,	1,	hiyayakko,	2013-10-12 01:00:35,	104,	35,	2,	0,	33,
1,	21,	3,	ogedei0501,	2013-09-04 22:06:09,	69,	25,	2,	0,	28,
1,	21,	1,	Salim Usman,	2013-10-07 11:11:50,	24,	4,	1,	0,	16,
1,	21,	1,	MichaelK33,	2013-03-23 14:40:37,	101,	75,	4,	0,	39,
1,	20,	2,	User420132,	2014-01-03 12:13:38,	84,	2,	0,	0,	19,
1,	20,	2,	Ian Cormack,	2013-12-13 15:45:00,	74,	7,	0,	0,	23,
1,	20,	2,	ImTheHat,	2013-09-04 18:33:15,	102,	32,	0,	3,	34,
1,	20,	2,	GatisOzols,	2013-12-13 20:53:23,	71,	5,	0,	0,	21,
1,	20,	2,	Momothemonkey,	2013-12-11 16:35:35,	83,	4,	0,	0,	21,
1,	20,	2,	Prodigy958,	2013-12-11 11:46:43,	85,	6,	0,	0,	23,
1,	20,	2,	Mu'taz111,	2013-12-06 17:21:54,	87,	8,	0,	0,	25,
1,	20,	2,	Aratakan ,	2013-10-21 19:10:47,	88,	28,	5,	0,	33,
1,	20,	2,	YoungjinMa,	2013-09-04 18:32:45,	87,	33,	9,	3,	41,
1,	20,	2,	Zayeem Hamid,	2013-09-04 02:58:36,	96,	35,	2,	0,	32,
1,	20,	1,	Brent Farris,	2012-02-26 10:13:51,	252,	66,	8,	0,	57,
1,	19,	1,	jonholt jdh,	2011-08-03 14:53:32,	294,	642,	105,	4,	134,
1,	19,	1,	William Sanders,	2013-09-11 17:21:28,	63,	38,	0,	0,	27,
1,	19,	1,	delivilla,	2013-09-11 17:21:38,	98,	50,	0,	0,	32,
1,	19,	1,	This is Raystuff,	2013-06-14 15:13:47,	101,	87,	2,	0,	38,
1,	19,	1,	Jake the man,	2013-05-05 04:10:17,	328,	61,	0,	0,	56,
1,	19,	1,	Bikramjit Singh,	2013-06-22 01:23:54,	39,	9,	0,	0,	21,
1,	19,	1,	Diana Ford,	2013-05-31 02:26:50,	72,	18,	0,	0,	26,
1,	18,	2,	karamoko,	2013-12-11 21:59:21,	85,	10,	0,	0,	27,
1,	18,	2,	Kim Eisoher,	2013-06-10 22:51:35,	95,	7,	0,	0,	25,
1,	18,	2,	Jose Morales,	2014-01-05 06:49:00,	81,	4,	0,	0,	21,
1,	18,	3,	User212711,	2013-12-30 18:28:23,	57,	6,	0,	0,	20,
1,	18,	2,	User38206,	2014-01-03 01:55:00,	85,	6,	0,	0,	23,
1,	18,	3,	ng123456,	2013-12-25 19:43:24,	79,	10,	0,	0,	26,
1,	18,	2,	Coen Luijten,	2013-12-30 22:13:17,	76,	5,	1,	0,	22,
1,	18,	1,	awsome man5227,	2012-12-03 22:23:40,	116,	42,	1,	1,	35,
1,	18,	3,	Al Williams,	2013-12-13 03:28:33,	104,	22,	0,	0,	30,
1,	18,	2,	Fantaland,	2013-12-06 05:42:28,	84,	15,	0,	0,	27,
1,	18,	2,	Raptor310,	2013-12-13 22:53:41,	73,	9,	0,	0,	25,
1,	18,	3,	yonghee lee,	2013-12-19 23:22:04,	74,	3,	0,	0,	19,
1,	18,	1,	JJ Harrison-Eason,	2013-09-27 12:39:48,	104,	16,	1,	0,	30,
1,	18,	2,	Hello Brian,	2013-12-11 05:50:30,	85,	10,	0,	0,	27,
1,	18,	2,	Colleen and Mark Kahn,	2013-12-10 01:41:29,	80,	9,	0,	0,	26,
1,	18,	3,	Staci Eisman,	2013-12-14 17:27:43,	67,	1,	1,	0,	17,
1,	18,	3,	alstrong,	2013-10-03 08:11:47,	133,	76,	3,	0,	41,
1,	18,	1,	Sra Ramey,	2013-12-10 18:12:18,	81,	6,	0,	0,	23,
1,	18,	2,	User81933,	2013-12-11 22:44:44,	81,	6,	0,	0,	23,
1,	18,	1,	KLaw3000,	2013-02-25 20:44:21,	96,	33,	1,	0,	31,
1,	18,	2,	Ywen Xuan Liou,	2013-10-21 23:16:06,	73,	23,	1,	0,	28,
1,	18,	2,	MaxAgafonov,	2011-11-20 00:32:51,	105,	12,	0,	0,	29,
1,	18,	1,	your average hero ,	2013-09-04 18:33:02,	131,	38,	10,	1,	45,
1,	18,	1,	oranJess,	2013-07-11 20:06:37,	103,	51,	1,	0,	34,
1,	18,	1,	User32226,	2013-02-17 15:57:30,	163,	25,	3,	0,	39,
1,	18,	2,	Kirk Pattinson,	2013-01-31 09:00:16,	236,	42,	0,	0,	45,
1,	18,	1,	janlk701,	2012-07-07 23:15:36,	372,	102,	40,	0,	78,
1,	17,	1,	Gursharan Kaur,	2013-09-11 12:23:01,	111,	21,	2,	3,	36,
1,	17,	1,	student Joshua Stever,	2013-12-03 17:47:49,	91,	16,	0,	0,	28,
1,	17,	1,	User55440,	2012-08-07 13:43:14,	136,	74,	3,	0,	41,
1,	17,	1,	Potatoinvent.,	2013-01-20 23:42:26,	143,	146,	9,	3,	58,
1,	16,	2,	beach boy,	2013-12-26 06:46:44,	40,	13,	1,	0,	24,
1,	16,	2,	Dmitriy Petrishen,	2013-12-07 22:23:08,	57,	5,	0,	0,	19,
1,	16,	2,	cblclrlleon,	2013-12-20 08:16:01,	84,	3,	0,	0,	20,
1,	16,	2,	Jacob O'Hara,	2013-09-27 12:36:06,	74,	11,	1,	0,	27,
1,	16,	2,	Timothy Rebong,	2013-10-04 18:19:30,	89,	16,	0,	0,	27,
1,	16,	2,	User72213,	2013-03-26 08:27:08,	97,	40,	0,	0,	31,
1,	16,	2,	Ciera Miller,	2013-12-05 06:07:30,	72,	2,	0,	0,	18,
1,	16,	2,	Ivanae Ellerbee,	2013-12-05 00:05:24,	68,	5,	0,	0,	20,
1,	16,	2,	CptTeemoOnDuty,	2013-09-04 18:33:48,	85,	34,	0,	0,	29,
1,	16,	2,	B111PPI<3,	2013-09-05 01:58:23,	37,	48,	0,	0,	25,
1,	16,	1,	User0847,	2011-09-23 20:24:01,	386,	541,	47,	3,	126,
1,	16,	1,	bradrageatgame,	2012-08-23 15:46:36,	91,	20,	16,	0,	39,
1,	16,	2,	User56307,	2013-06-22 00:48:06,	10,	12,	0,	0,	20,
1,	16,	1,	Amy_Chan4,	2013-06-01 20:55:14,	102,	14,	0,	0,	29,
1,	15,	3,	FoodfrenzyGaming,	2013-12-06 21:18:29,	50,	18,	0,	0,	24,
1,	15,	1,	MindSticks,	2012-10-25 16:44:41,	680,	280,	6,	1,	121,
1,	15,	3,	KremGoblin,	2013-12-23 04:00:39,	37,	1,	0,	0,	13,
1,	15,	3,	MATTHEW BILLINGSLEY,	2013-12-13 16:40:41,	106,	4,	1,	0,	24,
1,	15,	1,	parmjit gill,	2013-09-11 12:31:59,	111,	23,	4,	1,	36,
1,	15,	3,	b Harris1,	2013-12-14 17:35:15,	87,	2,	0,	0,	19,
1,	15,	3,	Linda Tsai,	2013-12-14 17:42:20,	87,	2,	0,	0,	19,
1,	15,	3,	Gabriel Jones,	2013-12-13 20:54:27,	76,	18,	1,	0,	27,
1,	15,	1,	GPAppDev,	2013-08-02 16:28:44,	147,	85,	0,	0,	40,
1,	15,	3,	Knut Erlend Sakkeus,	2013-11-18 20:32:42,	62,	4,	0,	0,	19,
1,	15,	1,	User73980,	2013-10-08 18:16:49,	201,	43,	0,	0,	42,
1,	15,	1,	User88558,	2013-01-25 15:50:16,	70,	58,	0,	0,	30,
1,	15,	1,	AlfredTwo,	2012-02-08 18:58:21,	65,	84,	1,	0,	33,
1,	15,	1,	Yiruma rOn,	2012-10-26 17:21:36,	188,	63,	1,	0,	43,
1,	15,	1,	Mr.Capers,	2012-09-18 17:14:31,	201,	88,	16,	0,	56,
1,	15,	1,	User05302/shamst85,	2012-11-22 11:57:00,	75,	20,	0,	0,	27,
1,	15,	1,	User55121,	2012-04-03 17:21:02,	87,	29,	0,	1,	29,
1,	15,	1,	TheBasedLion,	2012-04-03 17:06:17,	90,	35,	5,	1,	36,
1,	15,	1,	Lockness75,	2013-04-08 22:33:42,	45,	29,	0,	0,	24,
1,	14,	2,	xingtao2008,	2013-06-03 13:44:51,	73,	13,	0,	0,	26,
1,	14,	2,	User349455,	2013-12-24 17:17:27,	80,	1,	0,	0,	18,
1,	14,	2,	User212135,	2013-12-02 07:44:31,	63,	11,	0,	0,	25,
1,	14,	1,	Aaron Lakhanpal.,	2013-09-11 12:16:30,	94,	83,	15,	4,	49,
1,	14,	2,	Usamah Ellahi,	2013-12-11 17:04:45,	69,	3,	0,	0,	18,
1,	14,	2,	User562805,	2013-10-17 15:19:56,	72,	6,	0,	0,	22,
1,	14,	2,	Harman Bhangoo,	2013-09-11 12:16:03,	71,	16,	1,	5,	32,
1,	14,	2,	Johnny anaya,	2013-09-04 22:03:11,	55,	19,	0,	0,	24,
1,	14,	2,	Gordon McGirr,	2013-08-28 14:46:01,	68,	21,	1,	0,	27,
1,	14,	2,	Michael Binshtock,	2013-11-03 08:54:35,	92,	2,	0,	0,	20,
1,	14,	2,	Lime Green V,	2012-06-28 12:16:45,	274,	117,	4,	0,	60,
1,	14,	1,	Alex Young,	2013-02-04 17:12:44,	124,	66,	0,	0,	36,
1,	14,	2,	Almeen Arif,	2013-04-13 17:56:12,	296,	97,	18,	1,	67,
1,	14,	1,	User422486,	2012-10-26 17:15:34,	177,	83,	1,	0,	44,
1,	14,	2,	User249516,	2013-04-18 19:30:54,	31,	11,	2,	0,	24,
1,	14,	1,	alex paterson,	2013-02-24 22:05:07,	46,	10,	1,	0,	24,
1,	14,	1,	User12344,	2012-10-29 21:38:21,	70,	17,	0,	0,	26,
1,	14,	1,	JohnMarks,	2013-01-13 03:31:47,	161,	82,	0,	0,	42,
1,	14,	1,	BBettsss,	2013-06-21 21:22:32,	51,	6,	0,	0,	20,
1,	14,	2,	Esmond Yu,	2013-05-09 13:07:39,	119,	22,	0,	0,	31,
1,	13,	1,	MohamedX,	2013-06-03 06:29:07,	115,	49,	4,	0,	37,
1,	13,	1,	lewis mercer,	2013-09-27 12:35:27,	102,	14,	1,	0,	30,
1,	13,	1,	Toree Mann,	2013-09-10 17:19:15,	89,	39,	2,	0,	31,
1,	13,	1,	Connor Waller,	2013-12-10 15:47:12,	61,	9,	0,	0,	24,
1,	13,	1,	olivia tromans,	2013-11-20 15:21:24,	76,	6,	0,	0,	22,
1,	13,	1,	AndyRageMaster,	2013-10-22 01:00:11,	68,	35,	2,	2,	31,
